feature,importance
Feature_90,0.08074176825888017
Feature_16,0.06540137633911881
Feature_116,0.06469987155141207
Feature_23,0.050703884584049466
Feature_99,0.050131747015260235
Feature_91,0.04860691271878168
Feature_168,0.03445939850564739
Feature_35,0.03053159030809978
Feature_10,0.02945573154138249
Feature_28,0.02691201093202846
Feature_110,0.026704283457301258
Feature_75,0.021418645109163963
Feature_145,0.020104790824013646
Feature_139,0.019964881808621476
Feature_17,0.018047573134209804
Feature_44,0.013338830200794217
Feature_174,0.010568503993940765
Feature_5,0.010443397248523658
Feature_39,0.010233214673106466
Feature_29,0.010043336377385479
Feature_119,0.008695800114544499
Feature_114,0.008686598890189688
Feature_172,0.008389719874108383
Feature_20,0.00832082463800744
Feature_148,0.007476850428040931
Feature_60,0.007350009538326616
Feature_112,0.007080914193007822
Feature_102,0.006362031809592985
Feature_124,0.0063429144785874195
Feature_180,0.0058126691303502995
Feature_118,0.005678892923972898
Feature_103,0.005522764842420266
Feature_108,0.005468230430046985
Feature_121,0.005012210377181459
Feature_105,0.004954702551609038
Feature_120,0.004903428693100727
Feature_107,0.0048820728151882506
Feature_100,0.004824596545806386
Feature_125,0.004718705929299509
Feature_117,0.004675985466590368
Feature_101,0.004593683584235317
Feature_122,0.004570900242934582
Feature_146,0.0044295649368217005
Feature_170,0.00438352545848372
Feature_43,0.004380086087594139
Feature_126,0.004357641450008913
Feature_128,0.004313801012717407
Feature_111,0.004267951277931213
Feature_109,0.004231153509254326
Feature_163,0.004150256772189386
Feature_104,0.004109425689431614
Feature_160,0.004095298481140756
Feature_127,0.0040142067958590585
Feature_169,0.003946127155847889
Feature_131,0.0039297914408636305
Feature_164,0.0038746740813859317
Feature_166,0.003813053496031571
Feature_140,0.003634049354123085
Feature_106,0.003626049707874256
Feature_147,0.003622469308827772
Feature_137,0.0036176695187897716
Feature_151,0.003562306664383175
Feature_129,0.0035564640034418797
Feature_123,0.003545139905684443
Feature_130,0.0035344205156074456
Feature_150,0.003520822369266019
Feature_162,0.0034997970114310183
Feature_136,0.003441741759328004
Feature_185,0.003433783884926973
Feature_153,0.0034029974896275282
Feature_144,0.0033215681493605543
Feature_183,0.00330346013390386
Feature_182,0.00330010976599724
Feature_156,0.0032872038159117867
Feature_115,0.003265839581611319
Feature_149,0.003265221912662847
Feature_184,0.0032294351238958386
Feature_142,0.0031947355101203966
Feature_113,0.003132829256803643
Feature_138,0.0030285669407316544
Feature_157,0.0030048395360146945
Feature_133,0.0029686399239144084
Feature_158,0.002890520093251085
Feature_132,0.0028557639771782384
Feature_161,0.002762061624977318
Feature_175,0.0027544988939562885
Feature_165,0.0027246156299232183
Feature_154,0.00265722954254089
Feature_186,0.0026233709428015507
Feature_155,0.0026097735396182885
Feature_141,0.0025993226078721908
Feature_176,0.002557030260445631
Feature_178,0.0025363813988198984
Feature_152,0.00252850314578141
Feature_159,0.0025081641862350957
Feature_135,0.002459178700858688
Feature_171,0.0024437125352081823
Feature_134,0.002429381040806543
Feature_179,0.002327952125222334
Feature_167,0.0022339328324185396
Feature_173,0.002029937368931328
Feature_143,0.0019396032913975784
Feature_181,0.0019011025271790608
Feature_98,0.0013147387051364184
Feature_0,0.0008505364575405059
Feature_31,0.0008411331935401943
Feature_7,0.0007532153320275459
Feature_83,0.000672891416265927
Feature_51,0.0006511311399624839
Feature_84,0.0006449939653354222
Feature_15,0.000642747789332174
Feature_25,0.0006306851211892536
Feature_68,0.0005504767572132755
Feature_37,0.0005320613549657388
Feature_18,0.000522370507281828
Feature_41,0.0005111755975014877
Feature_9,0.0005064766320934497
Feature_32,0.0004869817816797828
Feature_85,0.0004815637868433121
Feature_59,0.00046496850037176796
Feature_14,0.0004578854775127192
Feature_8,0.00045156721468345097
Feature_53,0.0004275803609203557
Feature_33,0.0004250487702167783
Feature_46,0.0003867712140238996
Feature_58,0.00038466485394435116
Feature_86,0.0003497945886205432
Feature_11,0.00033690773500188114
Feature_87,0.00033653437596008174
Feature_6,0.0003332920594038181
Feature_72,0.0003322262894263367
Feature_27,0.0003232303532951089
Feature_69,0.0003207885955988128
Feature_74,0.00031000379088386
Feature_81,0.00030824970215012615
Feature_96,0.00030377708464579637
Feature_49,0.00029636006473247113
Feature_73,0.00029201664293047283
Feature_4,0.0002745600218978273
Feature_54,0.0002717927434471261
Feature_94,0.000269727660110886
Feature_63,0.0002688081363363118
Feature_79,0.00026501688105132914
Feature_57,0.0002639362257639774
Feature_21,0.00023144160384495197
Feature_50,0.0002303463606886573
Feature_24,0.00022950686636474701
Feature_82,0.00022334078328340291
Feature_61,0.00021064222566643726
Feature_76,0.0001985358323324569
Feature_77,0.000186467527504309
Feature_56,0.00018567817900951616
Feature_71,0.00018521278202102772
Feature_177,0.0001845245907663748
Feature_12,0.00018137265989465832
Feature_13,0.00017961336335624187
Feature_88,0.00016824227514852363
Feature_36,0.00015547818898798942
Feature_19,0.00014479008798635204
Feature_92,0.0001433676646168602
Feature_78,0.00014297374354867078
Feature_22,0.00014154769854351942
Feature_30,0.00013828327922785392
Feature_97,0.0001314024072674322
Feature_89,0.00011873144016392988
Feature_38,0.00011220721459244794
Feature_34,0.00011015894096116219
Feature_55,0.00010427571137102392
Feature_40,0.00010217189529867625
Feature_80,0.00010061468156956722
Feature_65,9.759818440858855e-05
Feature_95,7.79478379718011e-05
Feature_67,7.43033473105057e-05
Feature_62,7.268761598242637e-05
Feature_64,7.237207639729775e-05
Feature_52,6.764629037811955e-05
Feature_66,6.212168535562315e-05
Feature_93,6.194116440614757e-05
Feature_70,5.852249467759468e-05
Feature_3,5.3899229579385627e-05
Feature_2,5.289199418573893e-05
Feature_48,4.8301355985988e-05
Feature_1,4.6389765335604915e-05
Feature_45,4.382196820401996e-05
Feature_42,1.4926970878137204e-05
Feature_208,0.0
Feature_202,0.0
Feature_203,0.0
Feature_204,0.0
Feature_205,0.0
Feature_206,0.0
Feature_207,0.0
Feature_210,0.0
Feature_209,0.0
Feature_214,0.0
Feature_211,0.0
Feature_212,0.0
Feature_200,0.0
Feature_213,0.0
Feature_201,0.0
Feature_190,0.0
Feature_199,0.0
Feature_198,0.0
Feature_197,0.0
Feature_196,0.0
Feature_195,0.0
Feature_194,0.0
Feature_193,0.0
Feature_192,0.0
Feature_191,0.0
Feature_189,0.0
Feature_188,0.0
Feature_187,0.0
Feature_47,0.0
Feature_26,0.0
Feature_215,0.0
