feature,importance
19_3001,2.88473989786121
16_C,2.6414050330837777
10_6,2.3481799763852576
19_11,2.27060879588284
10_1,2.181876158241145
19_2202,1.7675182269255059
16_A,1.6911600022038242
19_30303,1.5673638741170532
14_numbers,1.2262678154513091
19_1,1.1795575515758192
16_B,1.0072084137520392
tfidf_14,0.9285999803722053
tfidf_0,0.8341201181857475
17_O,0.5736068121096888
26_R,0.5248737394636368
26_B,0.5225567594549648
6_m,0.5119439431875492
tfidf_17,0.5072247837081738
14_909((3)),0.5043520686273324
tfidf_13,0.5042811804014253
25_x,0.492209818573126
26_q,0.49045315272951595
13_q,0.4663312559729737
18_O,0.4514711096667319
8_P,0.44035298729222794
7_b,0.4396232319913288
2_w,0.4337345995917423
7_F,0.42944994854052054
14_upper,0.42453982090020775
6_h,0.4236762764210983
27_S,0.4163656790565211
tfidf_80,0.4091445697851516
1_K,0.40659660967465916
2_Z,0.4054875738947405
7_k,0.40399250737935455
17_x,0.403292631368398
8_D,0.4028502329967392
13_x,0.40099564099442736
24_n,0.3973963378452321
21_r,0.39549619793443
19_missing,0.3946835787884595
12_L,0.39173021284848214
21_D,0.39097727245412733
21_u,0.3898067087162726
14_{@{#}},0.38896980892705063
8_a,0.3884676619832535
17_Q,0.3878573064515471
27_c,0.3876604396592814
22_U,0.3862127168140751
28_O,0.38180641243773883
5_z,0.37783237166163397
tfidf_50,0.37652346219890087
2_Y,0.37633170852865666
18_B,0.3747199316586418
21_C,0.37116750602220355
9_I,0.3709486168551574
6_k,0.3693341697704696
tfidf_4,0.3668089231170199
tfidf_15,0.3662712880119501
26_H,0.36559968742820287
28_P,0.3617891503695493
5_G,0.3607996166297332
9_R,0.359244544336974
27_I,0.3589450188024723
7_A,0.3578426038143751
18_h,0.35664535238231
7_d,0.35618040217415825
23_I,0.3552067621268721
23_U,0.35517637369936356
4_A,0.354134213283319
1_e,0.35110904871884535
24_a,0.34874025831658556
17_t,0.3416834376018296
9_A,0.3387229170557813
20_I,0.3382743596384984
19_4,0.3380790804558483
1_wrong input,0.33777793126249744
6_K,0.33728262636689926
0_D,0.3361283934703179
26_S,0.3349022846515132
11_a,0.33348679328016895
24_b,0.3295004791874378
6_S,0.3270171466750212
1_J,0.32643198764811404
22_J,0.32480598436978486
0_J,0.3246705173500795
